YEAR,P,D,E,R,RLONG,CPI
1940,12.3,0.67,1.05,0.56,2.21,13.9
1941,10.55,0.71,1.16,0.53,1.95,14.1
1942,8.93,0.59,1.03,0.63,2.46,15.7
1943,10.09,0.61,0.94,0.69,2.47,16.9
1944,11.85,0.64,0.93,0.72,2.48,17.4
1945,13.49,0.66,0.96,0.75,2.37,17.8
1946,18.02,0.71,1.06,0.76,2.19,18.2
1947,15.21,0.84,1.61,1.01,2.25,21.5
1948,14.83,0.93,2.29,1.35,2.44,23.7
1949,15.36,1.14,2.32,1.58,2.31,24
1950,16.88,1.47,2.84,1.32,2.32,23.5
1951,21.21,1.41,2.44,2.12,2.57,25.4
1952,24.19,1.41,2.4,2.39,2.68,26.5
1953,26.18,1.45,2.51,2.58,2.83,26.6
1954,25.46,1.54,2.77,1.8,2.48,26.9
1955,35.6,1.64,3.62,1.81,2.61,26.7
1956,44.15,1.74,3.41,3.21,2.9,26.8
1957,45.43,1.79,3.37,3.86,3.46,27.6
1958,41.12,1.75,2.89,2.54,3.09,28.6
1959,55.62,1.83,3.39,3.74,4.02,29
1960,58.03,1.95,3.27,4.28,4.72,29.3
1961,59.72,2.02,3.19,2.91,3.84,29.8
1962,69.07,2.13,3.67,3.39,4.08,30
1963,65.06,2.28,4.02,3.5,3.83,30.4
1964,76.45,2.5,4.55,4.09,4.17,30.9
1965,86.12,2.72,5.19,4.46,4.19,31.2
1966,93.32,2.87,5.55,5.44,4.61,31.8
1967,84.45,2.92,5.33,5.55,4.58,32.9
1968,95.04,3.07,5.76,6.17,5.53,34.1
1969,102.04,3.16,5.78,8.05,6.04,35.6
1970,90.31,3.14,5.13,9.11,7.79,37.8
1971,93.49,3.07,5.7,5.66,6.24,39.8
1972,103.3,3.15,6.42,4.62,5.95,41.1
1973,118.42,3.38,8.16,7.93,6.46,42.6
1974,96.11,3.6,8.89,11.03,6.99,46.6
1975,72.56,3.68,7.96,7.24,7.5,52.1
1976,96.86,4.05,9.91,5.7,7.74,55.6
1977,103.81,4.67,10.89,5.28,7.21,58.5
1978,90.25,5.07,12.33,7.78,7.96,62.5
1979,99.71,5.65,14.86,10.88,9.1,68.3
1980,110.87,6.16,14.82,11.37,10.8,77.8
1981,132.97,6.63,15.36,17.63,12.57,87
1982,117.28,6.87,12.64,14.6,14.59,94.3
1983,144.27,7.09,14.03,9.37,10.46,97.8
1984,166.39,7.53,16.64,11.11,11.67,101.9
1985,171.61,7.9,14.61,8.35,11.38,105.5
1986,208.19,8.28,14.48,7.31,9.19,109.6
1987,264.51,8.81,17.5,6.25,7.08,111.2
1988,250.48,9.75,23.75,7.63,8.67,115.7
1989,285.41,11.06,22.87,9.29,9.09,121.1
1990,339.97,12.09,21.34,8.43,8.21,127.4
1991,325.5,12.2,15.97,6.92,8.09,134.6
1992,416.08,12.39,19.09,3.91,7.03,138.1
1993,435.23,12.58,21.89,3.44,6.6,142.6
1994,472.99,13.17,30.6,4.35,5.75,146.2
1995,465.25,13.79,33.96,6.45,7.78,150.3
1996,614.42,14.9,38.73,5.68,5.65,154.4
1997,766.22,15.5,39.72,5.78,6.58,159.1
1998,963.36,16.2,37.71,5.68,5.54,161.6
1999,1248.77,16.69,48.17,5.31,4.72,164.3
2000,1425.59,16.27,50,6.61,6.66,168.8
2001,1335.63,15.74,24.69,4.63,5.16,175.1
2002,1140.21,16.07,27.59,1.85,5.04,177.1
2003,895.84,17.39,48.74,1.18,4.05,181.7
2004,1132.5,19.44,58.55,1.49,4.15,185.2
2005,1181.4,22.22,69.93,3.41,4.22,190.7
2006,1278.73,24.88,81.51,5.32,4.42,198.3
2007,1424.16,27.73,66.18,5.34,4.76,202.416
2008,1378.76,28.39,14.88,3.42,3.74,211.18
2009,865.58,22.41,50.97,1.02,2.52,211.143
2010,1123.58,22.73,77.35,0.46,3.73,216.687
2011,1282.62,26.43,86.95,0.37,3.39,220.223
